Dataset	Domain	Score	Sent1	Sent2
STS2012-gold	surprise.OnWN	5.000	someone or something that is the agent of fulfilling desired expectations	someone (or something) on which expectations are centered.
STS2012-gold	surprise.OnWN	3.333	a sharp side of an object	a sharp side formed by the intersection of two surfaces of an object.
STS2012-gold	surprise.OnWN	2.750	the forceful hit of a ball	hitting a golf ball off of a tee with a driver.
STS2012-gold	surprise.OnWN	3.500	Fine powdery material; the remains of something destroyed or broken up.	the remains of something that has been destroyed or broken up.
STS2012-gold	surprise.OnWN	2.000	throw with force	utter with force; utter vehemently.
STS2012-gold	surprise.OnWN	4.000	Treat a substance with some agent; add an agent to.	treat with an agent; add (an agent) to.
STS2012-gold	surprise.OnWN	3.500	pass through the esophagus	pass through the esophagus as part of eating or drinking.
STS2012-gold	surprise.OnWN	4.750	move freely (usually within a bounded space)	cause to move or operate freely within a bounded space.
STS2012-gold	surprise.OnWN	3.500	secrete or form water	secrete or form water, as tears or saliva.
STS2012-gold	surprise.OnWN	4.000	the state of being in contact	the state of being connected.
STS2012-gold	surprise.OnWN	3.500	a variant of a musical theme which employs notes of reduced duration from the original theme	the statement of a theme in notes of lesser duration (usually half the length of the original).
STS2012-gold	surprise.OnWN	3.750	time to come	the time yet to come.
STS2012-gold	surprise.OnWN	4.750	the legal state of owing money	the state of owing something (especially money).
STS2012-gold	surprise.OnWN	4.500	a style and size of typeset	a specific size and style of type within a type family.
STS2012-gold	surprise.OnWN	3.500	Cause to be distrusted or rejected; damage the reputation of.	damage the reputation of.
STS2012-gold	surprise.OnWN	3.000	Give equal rights to, as of the right to vote.	give equal rights to; of women and minorities.
STS2012-gold	surprise.OnWN	3.000	(cause to) lengthen or expand in time or some abstract realm	lengthen in time; cause to be or last longer.
STS2012-gold	surprise.OnWN	4.750	a knapsack, bundle on the back	a bundle (especially one carried on the back).
STS2012-gold	surprise.OnWN	4.250	a person who delivers information or goods	a person who conveys (carries or transmits).
STS2012-gold	surprise.OnWN	4.250	having an intuitive understanding or appreciation of something	an intuitive understanding of something.
STS2012-gold	surprise.OnWN	5.000	adherence to moral principles	adhering to moral principles.
STS2012-gold	surprise.OnWN	5.000	have sex with	have sexual intercourse with.
STS2012-gold	surprise.OnWN	4.750	partake or provide a banquet	partake in a feast or banquet.
STS2012-gold	surprise.OnWN	4.750	idolize/show devotion to	show devotion to (a deity).
STS2012-gold	surprise.OnWN	5.000	make a ticking sound	make a clicking or ticking sound.
STS2012-gold	surprise.OnWN	3.250	run or flow slowly	run or flow slowly, as in drops or in an unsteady stream.
STS2012-gold	surprise.OnWN	4.500	Write a computer programme.	write a computer program.
STS2012-gold	surprise.OnWN	5.000	a state of social order in conformance with existing law	a state of order in which events conform to the law.
STS2012-gold	surprise.OnWN	4.500	An electronic storage device.	an electronic memory device.
STS2012-gold	surprise.OnWN	4.250	a reference line used to align lettering	a light line that is used in lettering to help align the letters.
STS2012-gold	surprise.OnWN	3.750	the quality of dedication, fixity of purpose	the trait of sincere and steadfast fixity of purpose.
STS2012-gold	surprise.OnWN	4.000	Look furtively at something.	look furtively.
STS2012-gold	surprise.OnWN	3.500	cast off, get rid of something	get rid of.
STS2012-gold	surprise.OnWN	4.250	recover posession or get back again	get or find back; recover the use of.
STS2012-gold	surprise.OnWN	4.750	a coefficient assigned to elements in a frequency distribution in order to indicate the relative importance of each element	(statistics) a coefficient assigned to elements of a frequency distribution in order to represent their relative importance.
STS2012-gold	surprise.OnWN	4.000	(cause to) move around	cause to move round and round.
STS2012-gold	surprise.OnWN	3.000	become due	become due for repayment.
STS2012-gold	surprise.OnWN	3.500	Provide medical care for.	provide veterinary care for.
STS2012-gold	surprise.OnWN	3.750	do over, make new	make new.
STS2012-gold	surprise.OnWN	4.500	coat, cover, or treat the surface of	put a coat on; cover the surface of; furnish with a surface.
STS2012-gold	surprise.OnWN	4.000	BASEBALL: strike out a batter	strike out (a batter), (of a pitcher).
STS2012-gold	surprise.OnWN	3.250	Regain or make up for, as of a financial loss.	regain or make up for.
STS2012-gold	surprise.OnWN	4.750	duplicate, match	duplicate or match.
STS2012-gold	surprise.OnWN	4.250	indistinct vocal articulations	indistinct articulation.
STS2012-gold	surprise.OnWN	4.000	the act of shoving something away	the act of applying force in order to move something away.
STS2012-gold	surprise.OnWN	5.000	move or drive forcefully as if by a punch.	drive forcibly as if by a punch.
STS2012-gold	surprise.OnWN	4.750	an intense surprise, often unpleasant	an unpleasant or disappointing surprise.
STS2012-gold	surprise.OnWN	4.250	Make less emotionally hostile; win over mentally or emotionally.	make less hostile; win over.
STS2012-gold	surprise.OnWN	4.250	informal usage for a domestic cat, often young	informal terms referring to a domestic cat.
STS2012-gold	surprise.OnWN	4.750	The act of sorting one thing from others.	sorting one thing from others.
STS2012-gold	surprise.OnWN	4.000	the act of physically affixing or connecting things	the act of fastening things together.
STS2012-gold	surprise.OnWN	4.000	the people who dwell in a camp	a group of people living together in a camp.
STS2012-gold	surprise.OnWN	5.000	An unforseen development.	an unforeseen development.
STS2012-gold	surprise.OnWN	3.000	bring into general popular/common use	cater to popular taste to make popular and present to the general public; bring into general or common use.
STS2012-gold	surprise.OnWN	3.250	make impure; make radioactive	make impure.
STS2012-gold	surprise.OnWN	4.750	a long, thin implement, usually made of wood	an implement consisting of a length of wood.
STS2012-gold	surprise.OnWN	4.000	Formally reject or disavow a formerly held belief; retract a statement.	formally reject or disavow a formerly held belief, usually under pressure.
STS2012-gold	surprise.OnWN	2.250	(Cause to) to turn to the left side.	turn or go to the port or left side, of a ship.
STS2012-gold	surprise.OnWN	3.750	Entail as a necessary accompaniment or result	impose, involve, or imply as a necessary accompaniment or result.
STS2012-gold	surprise.OnWN	4.250	Physically attach to something.	fix to; attach.
STS2012-gold	surprise.OnWN	4.750	assign to a particular task	assign to a specific task.
STS2012-gold	surprise.OnWN	3.750	culminating event	be the culminating event.
STS2012-gold	surprise.OnWN	4.750	act of constructing	the act of constructing something.
STS2012-gold	surprise.OnWN	4.750	the primary information-processing component of a computer, of a microprocessor chip	(computer science) the part of a computer (a microprocessor chip) that does most of the data processing.
STS2012-gold	surprise.OnWN	4.000	consider again, usually with a view to changing	consider again (a bill) that had been voted upon before, with a view to altering it.
STS2012-gold	surprise.OnWN	3.500	cancel, reverse, annul	cancel, annul, or reverse an action or its effect.
STS2012-gold	surprise.OnWN	4.500	define; determine essential qualities of	determine the essential quality of.
STS2012-gold	surprise.OnWN	3.250	The pursuit and killing or capture of animals.	the pursuit and killing or capture of wild animals regarded as a sport.
STS2012-gold	surprise.OnWN	3.500	manipulate the registers of a musical instrument	manipulate the registers of an organ.
STS2012-gold	surprise.OnWN	3.750	move in an irregular course	move to and fro or from place to place usually in an irregular course.
STS2012-gold	surprise.OnWN	4.000	the legal granting or bestowment of rights	the act of granting rights.
STS2012-gold	surprise.OnWN	3.750	jolt of electrical current to the body	a reflex response to the passage of electric current through the body.
STS2012-gold	surprise.OnWN	4.000	Become pregnant.	become pregnant; undergo conception.
STS2012-gold	surprise.OnWN	3.750	the bestowing of a franchise, enfranchisment	the act of certifying or bestowing a franchise on.
STS2012-gold	surprise.OnWN	3.750	act of distributing	the act of apportioning or distributing something.
STS2012-gold	surprise.OnWN	4.500	The state of being more than satisfied or satiated.	the state of being more than full.
STS2012-gold	surprise.OnWN	4.000	conscious subjective emotion or desire	the conscious subjective aspect of feeling or emotion.
STS2012-gold	surprise.OnWN	3.750	The act of proposing someone as a candidate for something.	the condition of having been proposed as a suitable candidate for appointment or election.
STS2012-gold	surprise.OnWN	4.000	to hunt snipe	hunt or shoot snipe.
STS2012-gold	surprise.OnWN	3.500	hunt for hawks	hunt with hawks.
STS2012-gold	surprise.OnWN	1.750	a continuous horizontal layer of brick	(construction) a layer of masonry.
STS2012-gold	surprise.OnWN	3.750	a brief attempt at some endeavor	a usually brief attempt.
STS2012-gold	surprise.OnWN	4.000	propagation of waves back from a surface	the phenomenon of a propagating wave (light or sound) being thrown back from a surface.
STS2012-gold	surprise.OnWN	3.500	examine minutely; search diligently	examine minutely.
STS2012-gold	surprise.OnWN	3.000	enjoy, be fond of or approve	be fond of.
STS2012-gold	surprise.OnWN	5.000	a person under the guardianship or custody of another	a person who is under the protection or in the custody of another.
STS2012-gold	surprise.OnWN	4.750	Strike or hit sharply, perhaps as in sport.	strike sharply, as in some sports.
STS2012-gold	surprise.OnWN	5.000	Fly in or on a glider plane	fly in or as if in a glider plane.
STS2012-gold	surprise.OnWN	4.750	one fourth of a year	a fourth part of a year; three months.
STS2012-gold	surprise.OnWN	2.750	make an abstract thing tight or more restrictive	make tight or tighter.
